Training Approach,Threshold,Precision %,Recall %,F1 Score,AUC-ROC,PR-AUC,Accuracy %,True Positives,False Positives
XGBoost Baseline (th=0.50),0.5,1.5,32.0,0.0287,0.5832,0.0161,73.68,24,1576
XGBoost F1-Tuned (th=0.25),0.25,1.36,77.33,0.0267,0.5832,0.0161,31.49,58,4218
XGBoost High Recall / Max Safety (th=0.15),0.15,1.3,96.0,0.0256,0.5832,0.0161,11.5,72,5468
Balanced HistGradientBoosting (th=0.45),0.45,1.51,26.67,0.0286,0.5659,0.0168,78.05,20,1302
LightGBM Balanced Classifier (th=0.25),0.25,1.48,57.33,0.0289,0.5681,0.0216,53.33,43,2853
Random Forest Classifier (th=0.25),0.25,1.48,93.33,0.0291,0.595,0.0171,24.39,70,4669
Logistic Regression Classifier (th=0.15),0.15,1.23,100.0,0.0244,0.5895,0.0161,2.83,75,6007
Saved Artifact: model.pkl,0.25,1.63,89.33,0.032,0.604,0.019,34.36,67,4050
Saved Artifact: balanced_ts_model.joblib,0.45,1.69,16.0,0.0306,0.5792,0.0165,87.69,12,698
Saved Artifact: high_perf_xgboost_model.joblib,0.25,1.63,89.33,0.032,0.604,0.019,34.36,67,4050
Saved Artifact: optimized_ts_model.joblib,0.25,1.5,80.0,0.0295,0.5894,0.0164,36.1,60,3935
Saved Artifact: high_recall_ts_model.joblib,0.15,1.53,52.0,0.0298,0.5792,0.0165,58.88,39,2506
