Model,Mode,Threshold,ROC-AUC,PR-AUC,Accuracy,Recall %,Precision %,F1,Injuries Caught,False Alarms
Logistic Regression,Max Safety (0.05),0.05,0.5895,0.0161,1.4,100.0,1.22,0.024,75/75,6094
Logistic Regression,Early Warning (0.15),0.15,0.5895,0.0161,2.8,100.0,1.23,0.0244,75/75,6007
Logistic Regression,High Alert (0.25),0.25,0.5895,0.0161,12.2,89.3,1.22,0.0241,67/75,5420
Logistic Regression,Balanced (0.45),0.45,0.5895,0.0161,60.8,53.3,1.65,0.0319,40/75,2391
Random Forest,Max Safety (0.05),0.05,0.595,0.0171,1.2,100.0,1.21,0.024,75/75,6106
Random Forest,Early Warning (0.15),0.15,0.595,0.0171,13.9,96.0,1.33,0.0263,72/75,5322
Random Forest,High Alert (0.25),0.25,0.595,0.0171,24.4,93.3,1.48,0.0291,70/75,4669
Random Forest,Balanced (0.45),0.45,0.595,0.0171,76.4,29.3,1.54,0.0293,22/75,1403
XGBoost,Max Safety (0.05),0.05,0.604,0.019,1.4,100.0,1.21,0.024,75/75,6098
XGBoost,Early Warning (0.15),0.15,0.604,0.019,19.3,94.7,1.4,0.0277,71/75,4987
XGBoost,High Alert (0.25),0.25,0.604,0.019,34.4,89.3,1.63,0.032,67/75,4050
XGBoost,Balanced (0.45),0.45,0.604,0.019,68.9,40.0,1.57,0.0303,30/75,1875
LightGBM,Max Safety (0.05),0.05,0.5845,0.0151,2.1,100.0,1.22,0.0242,75/75,6055
LightGBM,Early Warning (0.15),0.15,0.5845,0.0151,10.7,96.0,1.29,0.0254,72/75,5517
LightGBM,High Alert (0.25),0.25,0.5845,0.0151,30.9,80.0,1.39,0.0273,60/75,4259
LightGBM,Balanced (0.45),0.45,0.5845,0.0151,65.5,46.7,1.65,0.0318,35/75,2092
